target_year,sex,complete_27,heats_joined,semifinals_joined,heat_fallback,semifinal_fallback,medal_fallback
1988,Female,False,0,0,False,False,False
1988,Male,False,0,0,False,False,False
1992,Female,False,0,0,False,False,False
1992,Male,False,0,0,False,False,False
1996,Female,False,0,0,False,False,False
1996,Male,False,0,0,False,False,False
2000,Female,True,16,8,False,False,False
2000,Male,True,16,8,False,False,False
2004,Female,True,16,8,False,False,False
2004,Male,True,16,8,False,False,False
2008,Female,True,16,8,False,False,False
2008,Male,True,16,8,False,False,False
2012,Female,True,16,8,False,False,False
2012,Male,True,16,8,False,False,False
2016,Female,True,16,8,False,False,False
2016,Male,True,16,8,False,False,False
2020,Female,True,16,8,False,False,False
2020,Male,True,16,8,False,False,False
2024,Female,True,16,8,False,False,False
2024,Male,True,16,8,False,False,False
