target_year,sex,target_group,rank,official_rank,actual_time_seconds
1988,Female,FINALS,1,1.0,25.49
1988,Female,FINALS,2,2.0,25.64
1988,Female,FINALS,3,3.0,25.71
1988,Male,FINALS,1,1.0,22.14
1988,Male,FINALS,2,2.0,22.36
1988,Male,FINALS,3,3.0,22.71
1992,Female,FINALS,1,1.0,24.79
1992,Female,FINALS,2,2.0,25.08
1992,Female,FINALS,3,3.0,25.23
1992,Male,FINALS,1,1.0,21.91
1992,Male,FINALS,2,2.0,22.09
1992,Male,FINALS,3,3.0,22.3
1996,Female,FINALS,1,1.0,24.87
1996,Female,FINALS,2,2.0,24.9
1996,Female,FINALS,3,3.0,25.14
1996,Male,FINALS,1,1.0,22.13
1996,Male,FINALS,2,2.0,22.26
1996,Male,FINALS,3,3.0,22.29
2000,Female,FINALS,1,1.0,24.32
2000,Female,FINALS,2,2.0,24.51
2000,Female,FINALS,3,3.0,24.63
2000,Female,HEATS,1,,24.46
2000,Female,HEATS,2,,24.96
2000,Female,HEATS,3,,25.04
2000,Female,HEATS,4,,25.24
2000,Female,HEATS,5,,25.39
2000,Female,HEATS,6,,25.44
2000,Female,HEATS,7,,25.52
2000,Female,HEATS,8,,25.52
2000,Female,HEATS,9,,25.53
2000,Female,HEATS,10,,25.64
2000,Female,HEATS,11,,25.67
2000,Female,HEATS,12,,25.73
2000,Female,HEATS,13,,25.79
2000,Female,HEATS,14,,25.81
2000,Female,HEATS,15,,25.87
2000,Female,HEATS,16,,25.96
2000,Female,SEMIFINALS,1,,24.13
2000,Female,SEMIFINALS,2,,24.8
2000,Female,SEMIFINALS,3,,24.98
2000,Female,SEMIFINALS,4,,25.0
2000,Female,SEMIFINALS,5,,25.22
2000,Female,SEMIFINALS,6,,25.32
2000,Female,SEMIFINALS,7,,25.43
2000,Female,SEMIFINALS,8,,25.49
2000,Male,FINALS,1,1.0,21.98
2000,Male,FINALS,2,1.0,21.98
2000,Male,FINALS,3,3.0,22.03
2000,Male,HEATS,1,,22.05
2000,Male,HEATS,2,,22.14
2000,Male,HEATS,3,,22.15
2000,Male,HEATS,4,,22.24
2000,Male,HEATS,5,,22.32
2000,Male,HEATS,6,,22.42
2000,Male,HEATS,7,,22.45
2000,Male,HEATS,8,,22.46
2000,Male,HEATS,9,,22.52
2000,Male,HEATS,10,,22.53
2000,Male,HEATS,11,,22.53
2000,Male,HEATS,12,,22.61
2000,Male,HEATS,13,,22.62
2000,Male,HEATS,14,,22.65
2000,Male,HEATS,15,,22.74
2000,Male,HEATS,16,,22.8
2000,Male,SEMIFINALS,1,,22.07
2000,Male,SEMIFINALS,2,,22.11
2000,Male,SEMIFINALS,3,,22.13
2000,Male,SEMIFINALS,4,,22.17
2000,Male,SEMIFINALS,5,,22.3
2000,Male,SEMIFINALS,6,,22.32
2000,Male,SEMIFINALS,7,,22.35
2000,Male,SEMIFINALS,8,,22.36
2004,Female,FINALS,1,1.0,24.58
2004,Female,FINALS,2,2.0,24.89
2004,Female,FINALS,3,3.0,24.91
2004,Female,HEATS,1,,24.66
2004,Female,HEATS,2,,25.06
2004,Female,HEATS,3,,25.21
2004,Female,HEATS,4,,25.24
2004,Female,HEATS,5,,25.28
2004,Female,HEATS,6,,25.28
2004,Female,HEATS,7,,25.31
2004,Female,HEATS,8,,25.36
2004,Female,HEATS,9,,25.4
2004,Female,HEATS,10,,25.42
2004,Female,HEATS,11,,25.5
2004,Female,HEATS,12,,25.57
2004,Female,HEATS,13,,25.62
2004,Female,HEATS,14,,25.64
2004,Female,HEATS,15,,25.67
2004,Female,HEATS,16,,25.68
2004,Female,SEMIFINALS,1,,24.56
2004,Female,SEMIFINALS,2,,24.9
2004,Female,SEMIFINALS,3,,24.99
2004,Female,SEMIFINALS,4,,25.06
2004,Female,SEMIFINALS,5,,25.13
2004,Female,SEMIFINALS,6,,25.15
2004,Female,SEMIFINALS,7,,25.17
2004,Female,SEMIFINALS,8,,25.17
2004,Male,FINALS,1,1.0,21.93
2004,Male,FINALS,2,2.0,21.94
2004,Male,FINALS,3,3.0,22.02
2004,Male,HEATS,1,,22.04
