target_year,sex,target_group,rank,predicted_time_seconds,training_year_max,official_rank,actual_time_seconds
2024,Male,HEATS,1,21.35,2023,,21.32
2024,Male,HEATS,2,21.67,2023,,21.51
2024,Male,HEATS,3,21.72,2023,,21.54
2024,Male,HEATS,4,21.73,2023,,21.64
2024,Male,HEATS,5,21.82,2023,,21.7
2024,Male,HEATS,6,21.85,2023,,21.79
2024,Male,HEATS,7,21.9,2023,,21.79
2024,Male,HEATS,8,21.9,2023,,21.86
2024,Male,HEATS,9,21.91,2023,,21.86
2024,Male,HEATS,10,21.91,2023,,21.88
2024,Male,HEATS,11,21.92,2023,,21.89
2024,Male,HEATS,12,21.94,2023,,21.89
2024,Male,HEATS,13,21.97,2023,,21.91
2024,Male,HEATS,14,21.99,2023,,21.91
2024,Male,HEATS,15,22.04,2023,,21.92
2024,Male,HEATS,16,22.05,2023,,21.94
2024,Male,SEMIFINALS,1,21.25,2023,,21.38
2024,Male,SEMIFINALS,2,21.6,2023,,21.38
2024,Male,SEMIFINALS,3,21.61,2023,,21.5
2024,Male,SEMIFINALS,4,21.65,2023,,21.54
2024,Male,SEMIFINALS,5,21.68,2023,,21.58
2024,Male,SEMIFINALS,6,21.7,2023,,21.62
2024,Male,SEMIFINALS,7,21.73,2023,,21.64
2024,Male,SEMIFINALS,8,21.74,2023,,21.69
2024,Male,FINALS,1,21.06,2023,1.0,21.25
2024,Male,FINALS,2,21.57,2023,2.0,21.3
2024,Male,FINALS,3,21.58,2023,3.0,21.56
2024,Female,HEATS,1,23.93,2023,,23.85
2024,Female,HEATS,2,24.02,2023,,24.27
2024,Female,HEATS,3,24.29,2023,,24.37
2024,Female,HEATS,4,24.44,2023,,24.38
2024,Female,HEATS,5,24.51,2023,,24.5
2024,Female,HEATS,6,24.61,2023,,24.54
2024,Female,HEATS,7,24.63,2023,,24.55
2024,Female,HEATS,8,24.69,2023,,24.57
2024,Female,HEATS,9,24.71,2023,,24.57
2024,Female,HEATS,10,24.79,2023,,24.6
2024,Female,HEATS,11,24.8,2023,,24.64
2024,Female,HEATS,12,24.82,2023,,24.64
2024,Female,HEATS,13,24.83,2023,,24.67
2024,Female,HEATS,14,24.84,2023,,24.69
2024,Female,HEATS,15,24.86,2023,,24.72
2024,Female,HEATS,16,24.86,2023,,24.72
2024,Female,SEMIFINALS,1,23.61,2023,,23.66
2024,Female,SEMIFINALS,2,24.01,2023,,24.17
2024,Female,SEMIFINALS,3,24.2,2023,,24.23
2024,Female,SEMIFINALS,4,24.27,2023,,24.24
2024,Female,SEMIFINALS,5,24.53,2023,,24.29
2024,Female,SEMIFINALS,6,24.56,2023,,24.33
2024,Female,SEMIFINALS,7,24.62,2023,,24.4
2024,Female,SEMIFINALS,8,24.63,2023,,24.4
2024,Female,FINALS,1,23.62,2023,1.0,23.71
2024,Female,FINALS,2,24.1,2023,2.0,23.97
2024,Female,FINALS,3,24.15,2023,3.0,24.2
